"Month","Tmin","Tmax","Dynamic_Model","GDH"
10,-7,22,0.446599266742704,133.8815934889
10,-7,23,0.127342347777126,142.725607825015
10,-7,24,0,150.713577533113
10,-7,25,0,157.733267528147
10,-7,26,0,159.343111098744
10,-7,27,0,156.114135764672
10,-7,28,0,152.400444746534
10,-7,29,0,144.668613993426
10,-7,30,0,136.267667466468
10,-6,-5,1.87656009309409e-05,0
10,-6,-4,6.42306456711775e-05,0
10,-6,-3,0.000263072040857267,0
10,-6,-2,0.00116471421859845,0
10,-6,-1,0.00528100706702903,0
10,-6,0,0.0237179922116883,0
10,-6,1,0.0978481887481867,0
10,-6,2,0.302809261429549,0
10,-6,3,0.537158061110817,0
10,-6,4,0.576759165285884,0
10,-6,5,0.602324660452842,0.250157078227
10,-6,6,0.607133909454618,1.36407456989143
10,-6,7,0.640296973640097,3.56959569400642
10,-6,8,0.643000844983316,7.02748218988071
10,-6,9,0.620499910379537,11.712629218185
10,-6,10,0.647035455517019,17.5809543245982
10,-6,11,0.672297970829384,24.5909711447665
10,-6,12,0.642188654680587,32.6545255395274
10,-6,13,0.596728218966124,41.6339432586383
10,-6,14,0.577005668817815,51.3698805374588
10,-6,15,0.559207467986384,61.703412448476
10,-6,16,0.559149380295915,72.4808034514543
10,-6,17,0.553002730318545,83.5352665123403
10,-6,18,0.540979168486975,94.6794264936718
10,-6,19,0.51403193264799,105.724468324908
10,-6,20,0.465611995392031,116.487044407867
10,-6,21,0.434001656114249,126.808212714432
10,-6,22,0.485229996484004,136.531904008858
10,-6,23,0.128336355113548,145.508141210791
10,-6,24,0,153.605615592118
10,-6,25,0,160.712754808386
10,-6,26,0,162.260827088669
10,-6,27,0,159.116576396162
10,-6,28,0,155.298837423047
10,-6,29,0,147.323917132155
10,-6,30,0,139.026212139489
10,-5,-5,4.01687485410733e-05,0
10,-5,-4,9.95229940754608e-05,0
10,-5,-3,0.000335139529322288,0
10,-5,-2,0.00134790803261282,0
10,-5,-1,0.00582941403414255,0
10,-5,0,0.0254814255408656,0
10,-5,1,0.103004117921961,0
10,-5,2,0.314340920169181,0
10,-5,3,0.546808746589616,0
10,-5,4,0.587836436700999,0
10,-5,5,0.640775939100724,0.26092105004786
10,-5,6,0.619804980505713,1.42295245204561
10,-5,7,0.652877943406078,3.72212777014381
10,-5,8,0.647069922171104,7.29807017049693
10,-5,9,0.631860515198973,12.1118800103598
10,-5,10,0.680928859440809,18.1445947983708
10,-5,11,0.661988474749368,25.3445893093948
10,-5,12,0.640284808067851,33.6007359352356
10,-5,13,0.636647282977325,42.766857474478
10,-5,14,0.628987125686136,52.6955044667578
10,-5,15,0.580181133521742,63.2428954255102
10,-5,16,0.587393781109354,74.2439696646008
10,-5,17,0.589651924117407,85.5105356993503
10,-5,18,0.543995517035663,96.8494104285927
10,-5,19,0.474292818064419,108.079097718524
10,-5,20,0.433828520434318,119.029464043276
10,-5,21,0.386141666768302,129.523487752116
10,-5,22,0.462852233122571,139.396551367307
10,-5,23,0.16141468213811,148.499291961126
10,-5,24,0,156.708475617697
10,-5,25,0,163.926733152333
10,-5,26,0,165.446624905795
10,-5,27,0,162.398838674839
10,-5,28,0,158.411251813059
10,-5,29,0,150.244012219209
10,-5,30,0,142.044566219236
10,-4,-4,0.000210688648809307,0
10,-4,-3,0.000515829137956606,0
10,-4,-2,0.00170805760408747,0
10,-4,-1,0.00671100000617124,0
10,-4,0,0.0279361749097414,0
10,-4,1,0.109665250429403,0
10,-4,2,0.327585334737976,0
10,-4,3,0.554958314738116,0
10,-4,4,0.597895365625948,0
10,-4,5,0.630985235981638,0.275214300413364
10,-4,6,0.624103796191941,1.48862182284243
10,-4,7,0.671231994274293,3.89677505778245
10,-4,8,0.633589729407297,7.59252455681204
10,-4,9,0.677162878572774,12.5560279111816
10,-4,10,0.695913890012008,18.7758295349532
10,-4,11,0.663569035608003,26.175928926992
10,-4,12,0.652494951684988,34.6281549616066
10,-4,13,0.628537456451062,43.9995901540834
10,-4,14,0.631207789224838,54.1597730104535
10,-4,15,0.628566153650309,64.9480496940628
10,-4,16,0.613671375465719,76.1785713128808
10,-4,17,0.573746375710749,87.6602481550569
10,-4,18,0.538400731365666,99.2168162513252
10,-4,19,0.492605897969153,110.659542371502
10,-4,20,0.451471930461386,121.800957376401
10,-4,21,0.389232534115393,132.463302275373
10,-4,22,0.398479096510437,142.491944368157
10,-4,23,0.194325390365227,151.749017546072
10,-4,24,0,160.102729165126
10,-4,25,0,167.441506366545
10,-4,26,0,168.924644328728
10,-4,27,0,165.965936750896
10,-4,28,0,161.755378148005
10,-4,29,0,153.481999327819
10,-4,30,0,145.405303648437
10,-3,-3,0.00107945512526319,0
10,-3,-2,0.00260931321415403,0
10,-3,-1,0.00845150408876489,0
10,-3,0,0.0319036519993146,0
10,-3,1,0.118884872696981,0
10,-3,2,0.343736344466106,0
10,-3,3,0.559199321893649,0
10,-3,4,0.607687091730587,0
10,-3,5,0.639227456274036,0.293568703529802
10,-3,6,0.656459384956468,1.56735073614469
10,-3,7,0.671651544956899,4.09346961260064
10,-3,8,0.652666979099081,7.92041112546078
